what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.0.v200906080500,"org.eclipse.jst.common.project.facet.core",1249099078651
activated,editor,ch.epfl.lamp.sdt.core,2.7.5.final,"scala.tools.eclipse.Editor",1249099078844
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249099085095
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249099086790
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.project.cleanAction",1249099086841
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249099099262
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249099117782
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1249099133043
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1249099149112
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249099157508
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249099159552
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249099164626
opened,editor,ch.epfl.lamp.sdt.core,2.7.5.final,"scala.tools.eclipse.Editor",1249099176333
activated,editor,ch.epfl.lamp.sdt.core,2.7.5.final,"scala.tools.eclipse.Editor",1249099176386
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249099176447
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1249099176465
activated,editor,ch.epfl.lamp.sdt.core,2.7.5.final,"scala.tools.eclipse.Editor",1249099179346
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1249099181686
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249099194119
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1249099268555
activated,editor,ch.epfl.lamp.sdt.core,2.7.5.final,"scala.tools.eclipse.Editor",1249099279270
activated,editor,ch.epfl.lamp.sdt.core,2.7.5.final,"scala.tools.eclipse.Editor",1249099283699
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1249099366443
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1249099373573
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1249099393891
